Temperatura de equilibrio (K),Masa estelar (M☉),koi_disposition
793.0,0.919,CONFIRMED
443.0,0.919,CONFIRMED
638.0,0.961,CANDIDATE
1406.0,1.095,CONFIRMED
835.0,1.053,CONFIRMED
1160.0,1.053,CONFIRMED
1360.0,1.053,CONFIRMED
600.0,0.801,CONFIRMED
1339.0,0.971,CONFIRMED
2048.0,1.449,CONFIRMED
1521.0,1.132,CONFIRMED
1206.0,0.974,CONFIRMED
649.0,0.676,CONFIRMED
678.0,0.761,CONFIRMED
919.0,0.831,CONFIRMED
1018.0,0.831,CONFIRMED
800.0,0.831,CONFIRMED
530.0,0.791,CONFIRMED
917.0,0.931,CONFIRMED
1012.0,0.928,CONFIRMED
529.0,0.915,CONFIRMED
439.0,0.801,CONFIRMED
823.0,0.801,CONFIRMED
593.0,0.785,CONFIRMED
506.0,0.844,CONFIRMED
359.0,0.844,CONFIRMED
1103.0,0.976,CONFIRMED
1133.0,1.048,CONFIRMED
1093.0,0.941,CONFIRMED
516.0,0.93,CONFIRMED
790.0,0.862,CONFIRMED
1243.0,1.162,CONFIRMED
1219.0,0.941,CONFIRMED
1147.0,1.01,CONFIRMED
1104.0,1.007,CONFIRMED
806.0,1.007,CONFIRMED
489.0,0.846,CONFIRMED
785.0,0.951,CONFIRMED
997.0,0.941,CONFIRMED
433.0,0.633,CONFIRMED
553.0,0.633,CONFIRMED
332.0,0.633,CONFIRMED
1023.0,0.907,CONFIRMED
467.0,0.714,CANDIDATE
822.0,0.578,CONFIRMED
1070.0,0.85,CONFIRMED
734.0,0.85,CANDIDATE
1272.0,0.941,CANDIDATE
396.0,0.503,CONFIRMED
1015.0,0.927,CONFIRMED
833.0,0.986,CONFIRMED
393.0,0.576,CONFIRMED
488.0,0.576,CONFIRMED
677.0,0.832,CONFIRMED
531.0,0.951,CONFIRMED
1420.0,1.169,CONFIRMED
1025.0,1.169,CONFIRMED
751.0,0.884,CONFIRMED
390.0,0.884,CONFIRMED
753.0,0.992,CONFIRMED
1332.0,0.921,CONFIRMED
812.0,0.767,CONFIRMED
812.0,0.885,CANDIDATE
361.0,0.502,CONFIRMED
273.0,0.502,CONFIRMED
649.0,0.951,CONFIRMED
494.0,0.502,CONFIRMED
1005.0,0.866,CONFIRMED
536.0,0.821,CONFIRMED
1579.0,0.935,CONFIRMED
643.0,0.928,CANDIDATE
757.0,0.824,CONFIRMED
308.0,0.986,CONFIRMED
1021.0,0.951,CONFIRMED
411.0,0.986,CONFIRMED
524.0,0.986,CONFIRMED
1539.0,0.901,CONFIRMED
886.0,0.891,CONFIRMED
518.0,0.739,CONFIRMED
656.0,0.502,CONFIRMED
701.0,1.026,CONFIRMED
1262.0,1.113,CONFIRMED
870.0,1.026,CONFIRMED
550.0,1.026,CONFIRMED
975.0,0.855,CONFIRMED
511.0,0.84,CANDIDATE
964.0,1.181,CONFIRMED
329.0,0.536,CONFIRMED
469.0,0.536,CONFIRMED
460.0,0.553,CONFIRMED
1155.0,0.786,CANDIDATE
874.0,1.113,CONFIRMED
639.0,0.934,CONFIRMED
1947.0,0.959,CANDIDATE
600.0,0.793,CONFIRMED
687.0,0.733,CONFIRMED
823.0,0.733,CONFIRMED
914.0,0.939,CONFIRMED
1021.0,0.754,CONFIRMED
610.0,0.926,CONFIRMED
1074.0,1.113,CONFIRMED
481.0,0.926,CONFIRMED
731.0,1.083,CONFIRMED
888.0,1.083,CONFIRMED
1146.0,1.083,CONFIRMED
1642.0,1.083,CONFIRMED
1458.0,1.113,CONFIRMED
568.0,1.083,CONFIRMED
616.0,0.849,CONFIRMED
366.0,0.849,CONFIRMED
696.0,0.759,CONFIRMED
864.0,0.759,CONFIRMED
713.0,0.82,CONFIRMED
1038.0,0.973,CONFIRMED
1121.0,0.974,CONFIRMED
742.0,0.785,CONFIRMED
613.0,0.785,CONFIRMED
810.0,0.926,CONFIRMED
562.0,0.67,CONFIRMED
397.0,0.67,CONFIRMED
1234.0,1.163,CONFIRMED
1151.0,1.013,CONFIRMED
727.0,0.989,CONFIRMED
554.0,0.865,CONFIRMED
452.0,0.932,CONFIRMED
712.0,0.961,CONFIRMED
777.0,0.891,CONFIRMED
613.0,0.83,CONFIRMED
188.0,0.666,CANDIDATE
753.0,0.823,CONFIRMED
445.0,0.823,CONFIRMED
568.0,0.823,CONFIRMED
233.0,0.503,CONFIRMED
453.0,0.786,CONFIRMED
552.0,1.041,CANDIDATE
850.0,0.927,CONFIRMED
669.0,1.247,CONFIRMED
559.0,0.927,CONFIRMED
733.0,0.857,CANDIDATE
1160.0,0.91,CONFIRMED
1221.0,1.026,CONFIRMED
1038.0,0.956,CONFIRMED
622.0,0.956,CONFIRMED
791.0,0.956,CONFIRMED
366.0,0.904,CANDIDATE
426.0,1.247,CONFIRMED
562.0,0.915,CONFIRMED
450.0,0.915,CONFIRMED
926.0,0.915,CONFIRMED
1253.0,0.915,CONFIRMED
521.0,0.789,CONFIRMED
998.0,0.823,CONFIRMED
585.0,0.586,CONFIRMED
509.0,0.586,CONFIRMED
723.0,0.895,CANDIDATE
495.0,0.882,CONFIRMED
845.0,0.882,CONFIRMED
1174.0,1.014,CONFIRMED
896.0,0.793,CONFIRMED
667.0,0.793,CONFIRMED
595.0,0.544,CONFIRMED
635.0,0.64,CONFIRMED
502.0,0.64,CONFIRMED
418.0,0.64,CONFIRMED
487.0,0.697,CONFIRMED
1145.0,1.009,CONFIRMED
720.0,0.822,CONFIRMED
992.0,0.822,CONFIRMED
1139.0,0.968,CONFIRMED
236.0,0.789,CONFIRMED
929.0,0.699,CANDIDATE
686.0,0.891,CONFIRMED
927.0,1.053,CONFIRMED
530.0,0.891,CONFIRMED
970.0,0.891,CONFIRMED
453.0,0.484,CONFIRMED
395.0,0.484,CONFIRMED
328.0,0.484,CONFIRMED
905.0,1.014,CONFIRMED
770.0,0.821,CONFIRMED
986.0,1.169,CONFIRMED
876.0,1.079,CONFIRMED
911.0,1.386,CONFIRMED
432.0,0.563,CANDIDATE
226.0,0.526,CANDIDATE
998.0,0.914,CONFIRMED
931.0,0.71,CONFIRMED
400.0,0.71,CONFIRMED
1008.0,1.019,CONFIRMED
598.0,0.937,CONFIRMED
819.0,0.937,CONFIRMED
1497.0,1.049,CONFIRMED
460.0,0.508,CONFIRMED
569.0,0.508,CONFIRMED
771.0,1.009,CONFIRMED
362.0,0.508,CONFIRMED
429.0,0.44,CONFIRMED
554.0,0.44,CONFIRMED
332.0,0.44,CONFIRMED
833.0,1.009,CONFIRMED
1182.0,1.077,CONFIRMED
401.0,1.077,CONFIRMED
499.0,0.609,CONFIRMED
587.0,0.609,CONFIRMED
1016.0,0.886,CONFIRMED
1010.0,0.813,CANDIDATE
349.0,0.71,CONFIRMED
728.0,0.71,CONFIRMED
559.0,0.71,CONFIRMED
782.0,0.798,CONFIRMED
579.0,0.798,CONFIRMED
938.0,0.798,CONFIRMED
655.0,0.841,CONFIRMED
536.0,0.841,CONFIRMED
990.0,0.841,CONFIRMED
743.0,1.019,CONFIRMED
360.0,0.841,CONFIRMED
1162.0,0.94,CONFIRMED
850.0,0.915,CONFIRMED
1194.0,0.928,CANDIDATE
1062.0,1.159,CONFIRMED
1212.0,1.153,CONFIRMED
484.0,0.973,CONFIRMED
1155.0,0.983,CONFIRMED
472.0,0.844,CONFIRMED
543.0,0.806,CONFIRMED
680.0,0.869,CONFIRMED
563.0,0.869,CONFIRMED
949.0,0.869,CONFIRMED
964.0,0.816,CONFIRMED
982.0,0.983,CONFIRMED
577.0,1.091,CANDIDATE
1273.0,1.072,CONFIRMED
1315.0,0.949,CONFIRMED
1097.0,0.949,CONFIRMED
1681.0,0.949,CONFIRMED
897.0,0.949,CONFIRMED
784.0,0.71,CONFIRMED
1145.0,0.95,CONFIRMED
1013.0,0.943,CONFIRMED
787.0,0.943,CONFIRMED
686.0,0.943,CONFIRMED
781.0,0.958,CONFIRMED
615.0,0.958,CONFIRMED
484.0,0.958,CONFIRMED
1010.0,0.958,CANDIDATE
407.0,0.491,CONFIRMED
893.0,0.491,CONFIRMED
1008.0,1.003,CONFIRMED
595.0,0.999,CONFIRMED
807.0,0.867,CONFIRMED
1710.0,0.867,CONFIRMED
971.0,0.867,CONFIRMED
1050.0,0.884,CONFIRMED
792.0,0.884,CONFIRMED
1305.0,0.884,CONFIRMED
485.0,1.279,CANDIDATE
538.0,0.776,CONFIRMED
242.0,1.063,CANDIDATE
1943.0,1.064,CANDIDATE
839.0,0.865,CONFIRMED
3145.0,2.016,CANDIDATE
5862.0,2.166,CANDIDATE
333.0,1.092,CONFIRMED
1037.0,1.14,CONFIRMED
803.0,1.14,CONFIRMED
1171.0,1.808,CONFIRMED
25.0,0.717,CANDIDATE
688.0,1.016,CONFIRMED
844.0,1.016,CONFIRMED
753.0,0.534,CONFIRMED
1768.0,2.018,CANDIDATE
2101.0,2.018,CANDIDATE
675.0,1.174,CANDIDATE
1784.0,1.162,CONFIRMED
1331.0,0.807,CONFIRMED
1016.0,0.807,CONFIRMED
985.0,1.05,CONFIRMED
2740.0,1.808,CONFIRMED
1941.0,1.808,CONFIRMED
890.0,1.047,CONFIRMED
848.0,1.001,CANDIDATE
588.0,1.341,CONFIRMED
755.0,0.881,CONFIRMED
1022.0,0.881,CONFIRMED
476.0,0.881,CONFIRMED
554.0,0.881,CONFIRMED
1741.0,0.933,CONFIRMED
566.0,0.976,CONFIRMED
695.0,1.059,CONFIRMED
471.0,1.059,CONFIRMED
866.0,0.968,CONFIRMED
592.0,1.101,CONFIRMED
942.0,0.911,CONFIRMED
782.0,0.821,CONFIRMED
372.0,0.821,CONFIRMED
1356.0,1.092,CONFIRMED
1160.0,0.987,CONFIRMED
1422.0,1.497,CONFIRMED
1004.0,0.982,CANDIDATE
366.0,0.76,CANDIDATE
543.0,0.59,CONFIRMED
454.0,0.59,CANDIDATE
694.0,0.59,CONFIRMED
734.0,1.101,CONFIRMED
1101.0,0.96,CONFIRMED
672.0,0.816,CONFIRMED
505.0,0.816,CONFIRMED
1489.0,1.227,CONFIRMED
1734.0,0.875,CONFIRMED
1005.0,0.96,CONFIRMED
1372.0,0.96,CONFIRMED
843.0,0.96,CONFIRMED
348.0,0.791,CONFIRMED
615.0,0.454,CONFIRMED
1115.0,0.621,CONFIRMED
929.0,1.101,CONFIRMED
563.0,1.037,CONFIRMED
660.0,0.956,CANDIDATE
750.0,0.897,CONFIRMED
931.0,1.035,CONFIRMED
618.0,0.97,CONFIRMED
1144.0,0.96,CONFIRMED
533.0,0.961,CONFIRMED
932.0,0.856,CONFIRMED
1007.0,1.016,CONFIRMED
858.0,0.943,CONFIRMED
169.0,0.889,CANDIDATE
734.0,0.97,CONFIRMED
1046.0,0.861,CANDIDATE
943.0,0.869,CANDIDATE
748.0,0.809,CONFIRMED
875.0,1.016,CONFIRMED
1242.0,1.016,CANDIDATE
1612.0,0.924,CONFIRMED
904.0,0.794,CONFIRMED
875.0,1.08,CONFIRMED
1015.0,1.08,CONFIRMED
671.0,1.08,CONFIRMED
548.0,0.749,CONFIRMED
386.0,0.749,CONFIRMED
772.0,1.472,CONFIRMED
1139.0,0.809,CONFIRMED
1164.0,0.963,CANDIDATE
1066.0,0.947,CONFIRMED
421.0,0.947,CONFIRMED
410.0,1.053,CANDIDATE
736.0,0.856,CONFIRMED
739.0,1.037,CONFIRMED
489.0,1.037,CONFIRMED
984.0,1.096,CONFIRMED
1419.0,1.536,CONFIRMED
292.0,1.004,CANDIDATE
511.0,1.472,CONFIRMED
1156.0,0.902,CONFIRMED
456.0,0.737,CONFIRMED
767.0,0.865,CONFIRMED
1302.0,1.124,CONFIRMED
